ULICA;LOKACIJA (OPIS);GRADSKA ÈETVRT
Cvijete Zuzoriæ ;južno, nasuprot kioska kod pothodnika.;TRNJE
Nalješkoviæeva ulica 45;;TRNJE
Ulica Grada Vukovara 238;kod Dione;TRNJE
Cvijete Zuzoriæ ;južno, nasuprot kuænog broja 15;TRNJE
Ulica grada Vukovara 239;jugozapadno;TRNJE
Ulica Grada Vukovara 226;jugozapadno;TRNJE
Koranska ulica 34;;TRNJE
Miramarska c. 36;južno;TRNJE
Korèulanska ulica 1;parkiralište;TRNJE
Karašièka;ugao sa Grgecovom, izvan ograde djeèjeg igrališta;TRNJE
Lastovska 23;prema Gruškoj ulici;TRNJE
Odranska 3-9;;TRNJE
Trnjanski nasip;pored Veslaèkog kluba;TRNJE
Veslaèka ulica 17;;TRNJE
VI. Trnjanske struge 28;istoèna strana;TRNJE
Vrbik 6;južna strana ulice, nasuprot sportskog igrališta;TRNJE
Ulica Dragutina Golika ;nasuprot Reto centra;TREŠNJEVKA SJEVER
Dragutina Golika;nasuprot zgrade T-com-a;TREŠNJEVKA SJEVER
Hanamanova ulica 9;;TREŠNJEVKA SJEVER
Ugao Klanjeèke i Pušæanske;uz sportski centar Concordie;TREŠNJEVKA SJEVER
Ugao Drenovaèke i šetelište Jurija Gagarina;;TREŠNJEVKA SJEVER
Magazinska ulica;prostor iza autobusne stanice na poèetku ulice;TREŠNJEVKA SJEVER
Ugao Ul. Huga Badaliæa i Ul S.S. Kranjèeviæa;;TREŠNJEVKA SJEVER
Anina ulica;kod Konzuma;TREŠNJEVKA SJEVER
Ugao Krapinske i Èakoveèke;;TREŠNJEVKA SJEVER
Baštijanova;ugao sa Viteziæevom;TREŠNJEVKA SJEVER
Bosiljevska 40;;TREŠNJEVKA SJEVER
Jankomirska 16;zelena površina;TREŠNJEVKA SJEVER
Nehajska 32;ugao sa Crikvenièkom;TREŠNJEVKA SJEVER
Park stara Trešnjevka 1;;TREŠNJEVKA SJEVER
Zagorska 55;;TREŠNJEVKA SJEVER
Ladislava Štritofa 1;sjeveroistoèno;TREŠNJEVKA JUG
Braæa Domany 8;;TREŠNJEVKA JUG
Ulica Hrvatskog sokola ;kod ulaza na Jarunsko jezero;TREŠNJEVKA JUG
Ugao Klekova-Našièka;jugoistok;TREŠNJEVKA JUG
Petrovaradinska ulica ;jugoistok;TREŠNJEVKA JUG
Josipa Prikrila 13;;TREŠNJEVKA JUG
Ujeviæeva ulica;kod kuænog broja 13;TREŠNJEVKA JUG
Josipa Prikrila 16;;TREŠNJEVKA JUG
Majstora Radonje 15, Srednjaci;preko puta ambulante;TREŠNJEVKA JUG
Devèiæa Šime;ugao sa Bernardijevom;TREŠNJEVKA JUG
Jarnoviæeva ;Preèko 44;TREŠNJEVKA JUG
Kutnjaèki put 21;;TREŠNJEVKA JUG
Marice Bariæ 23;;TREŠNJEVKA JUG
I. Petruševec II.- IV. odvojak;;PEŠÈENICA - ŽITNJAK
Andriloveèka;;PEŠÈENICA - ŽITNJAK
Nade Krmpotiæ ;prostor izmeðu auto salona Kia i zimske baze Zagreb. c.;PEŠÈENICA - ŽITNJAK
Vukomerec 24;pored Agape pekare;PEŠÈENICA - ŽITNJAK
Trg Stjepana Konzula i Ivaniægradska;;PEŠÈENICA - ŽITNJAK
Savica-Šanci, ulica Gardijske brigade Tigrovi;ispred Konzuma;PEŠÈENICA - ŽITNJAK
Planinska – Livadarski put;iza autobusne stanice;PEŠÈENICA - ŽITNJAK
Kanalski put;zelena površina na zatvorenom odvodnom kanalu;PEŠÈENICA - ŽITNJAK
Budakova 12;;PEŠÈENICA - ŽITNJAK
Bužanova 12b;;PEŠÈENICA - ŽITNJAK
Èrnkoveèka 11;;PEŠÈENICA - ŽITNJAK
Heinzelova 47a;kod Mercatora;PEŠÈENICA - ŽITNJAK
Ivanjoreèka cesta 5;kod crkve;PEŠÈENICA - ŽITNJAK
Ivanjoreèka cesta 20;križanje s ulicom Ranci;PEŠÈENICA - ŽITNJAK
Milke Trnine 5;;PEŠÈENICA - ŽITNJAK
Motovunska;ugao s Brseèkom;PEŠÈENICA - ŽITNJAK
Racinova 6;;PEŠÈENICA - ŽITNJAK
Velikogorièka 12;;PEŠÈENICA - ŽITNJAK
Žitnjak 61;;PEŠÈENICA - ŽITNJAK
Županèiæeva 4b;lijeve garaže;PEŠÈENICA - ŽITNJAK
